Id;Identificador;Empaquetado;Cantidad;Identificación;Suministrador y ref;
1;R2;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;680;;x
2;U2;CMWX1ZZABZ_NEW;1;CMWX1ZZABZ-078;;
3;C1,C3,C5,C7,C8,C9,C10,C12;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;8;100n;;x
4;C2,C4;CP_Elec_5x4.4;2;10µ;;x
5;C6;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;10µ;;x
6;C11;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;1u;;x
7;C13;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;1;100N;;x
8;CA1,CA2;C_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;1µ;;x
9;J1;USB_Mini-B_Lumberg_2486_01_Horizontal CHANGED!!;1;USB_B_Micro;;X
10;J3;U.FL_Molex_MCRF_73412-0110_Vertical;1;73412-0110;;X
11;R1,R4;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;10k;;X
12;U3;SOT-223;1;LT1117-3.3;;X
13;U1;VZ-STANDARD;1;EKMC1601111;;X
14;D1,D2,D3;LED_0805_2012Metric;3;LED;;X
15;RV1;23B_1;1;23BR1KLFTR;;X
16;SW1,SW2;SW_SPST_PTS645;2;SW_Push;;X
17;kmtg1603;KMTG16031;1;Buzzer;;X
18;U4;TGS2611C00;1;TGS2611-E00;;X
19;J2;PinSocket_1x05_P2.54mm_Vertical;1;Conn_01x05_Male;;x
20;J4;PinSocket_1x02_P2.54mm_Vertical;1;Conn_01x02_Male;;X
21;R3,R5;R_0805_2012Metric_Pad1.15x1.40mm_HandSolder;2;??;;x
