"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"C1,C3,C5,C7,C8,C9,C10,C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;"100n";;;
2;"C2,C4";"CP_Elec_5x4.4";2;"10µ";;;
3;"C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10µ";;;
4;"C11";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1u";;;
5;"C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100N";;;
6;"CA1,CA2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1µ";;;
7;"J1";"USB_Mini-B_Lumberg_2486_01_Horizontal";1;"USB_B_Micro";;;
8;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"Conn_01x06_Male";;;
9;"J3";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"73412-0110";;;
10;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10k";;;
11;"U2";"CMWX1ZZABZ";1;"CMWX1ZZABZ-078";;;
12;"U3";"SOT-223";1;"LT1117-3.3";;;
13;"U1";"VZ-STANDARD";1;"EKMC1601111";;;
14;"D1,D2";"LED_0805_2012Metric";2;"LED";;;
15;"RV1";"23B_1";1;"23BR1KLFTR";;;
16;"SW1";"SW_SPST_PTS645";1;"SW_Push";;;
17;"kmtg1603";"KMTG16031";1;"Buzzer";;;
18;"U4";"TGS2611C00";1;"TGS2611-E00";;;
